Work ID,Component ID,Previous ID,Artist Name (EN),Artist Name (JP),Component Title (EN),Component Title (JP),Component Description (EN),Component Description (JP),Contributors (EN),Contributors (JP),Collection,Recording Date,Color,Sound,Run time (HH:MM:SS),Media Type,Media Format,Component Type,Relation,Film Process,Film Element Type,Film Wind,FPS,Audio Speed,Brand,Reel Size,Audio Reel Capacity,Video Stock Length,Video Standard,File Name,Codec,Codec ID,File Size (GB),Duration,Bit Rate,Dimensions,Display Aspect Ratio,Bit Depth,Scan Type,Encoded Date,Provenance,Viewing Restrictions,Terms Governing Use,Housing Annotations,Item Annotations,Condition Notes (EN),Condition Notes (JP),Notes,Date of Entry (MM-DD-YYYY),Cataloger
TA_079,IT_046,,IIMURA Takahiko,飯村隆彦,Taka and Ako,タカとアコ,,,,,Iimura Takahiko,1966,BW,Silent,00:08:00,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,16fps,,,,,,,,,,,,,,,,,,,,,Tail Up Double Performation,,,,,,CCJ
TA_079,IT_047,,IIMURA Takahiko,飯村隆彦,Taka and Ako,タカとアコ,,,,,Iimura Takahiko,1966,BW,Silent,,Film,16mm,,,Duplicate Negative / デュープ・ネガ　,Internegative / インターネガ,,16fps,,,,,,,,,,,,,,,,,,,,,,,,,,,CCJ
TA_080,IT_184,,IIMURA Takahiko,飯村隆彦,Talking in New York,トーキング・イン・ニューヨーク,Sound by Takahiko Iimura,,,,Iimura Takahiko,1980,Color,Sound,00:11:00,Film,16mm,,,Master / マスター,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,"Iimura 777.2607; Talking with N.Y. Master Posi W. TRAK. Color, Shorterened, 11min, spliced, タイトルと最終シーンは１/2明るくプリント","Talking in NY. Transfer from with S8mm. Sound, color",,,,,CCJ
TA_080,IT_211,,IIMURA Takahiko,飯村隆彦,Talking in New York,トーキング・イン・ニューヨーク,,,,,Iimura Takahiko,,Color,Sound,00:25:00,Film,8mm,,,Master / マスター,Positive / ポジ,,18fps,,,,,,,,,,,,,,,,,,,,,Plastic / プラスチック; 上映マスター要注意,,,,,,
TA_080,IT_212,,IIMURA Takahiko,飯村隆彦,Talking in New York,トーキング・イン・ニューヨーク,,,,,Iimura Takahiko,,Color,Sound,00:11:00,Film,16mm,,,,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,Plastic / プラスチック,,,,,,
TA_080,IT_213,,IIMURA Takahiko,飯村隆彦,Talking in New York,トーキング・イン・ニューヨーク,,,,,Iimura Takahiko,,Color,Sound,00:11:00,Film,16mm,,,,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,Plastic / プラスチック,,,,,,
TA_081,IT_172,,IIMURA Takahiko,飯村隆彦,Talking Picture (The Structure of Film Viewing),トーキング・ビクチャー（フィルムを見ることの構造）,,,,,Iimura Takahiko,,,,,Film,16mm,,,,Negative / ネガ,,,,,,,,,,,,,,,,,,,,,,,"Talking Pictures, pix (positive) & snd (nega); pix with mag snd track; snd in nega. Time paper between 2 reels",,,,negative sound,,CCJ
TA_081,IT_173,,IIMURA Takahiko,飯村隆彦,Talking Picture (The Structure of Film Viewing),トーキング・ビクチャー（フィルムを見ることの構造）,,,,,Iimura Takahiko,,,,,Film,16mm,,,,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,"Talking Pictures, pix (positive) & snd (nega); pix with mag snd track; snd in nega. Time paper between 2 reels",,,,Positive picture ,,CCJ
TA_082,IT_216,,IIMURA Takahiko,飯村隆彦,Talking Picture #1–4,トーキング・ビクチャー（フィルムを見ることの構造）＃1-4,,,,,Iimura Takahiko,,Color,Sound,00:17:00,Film,Super 8mm,,,Master / マスター,Positive / ポジ,,18fps,,,,,,,,,,,,,,,,,,,,,"Plastic / プラスチック; 1.BETWEEN THE FRAME 2.SEEING NOTHING 3. THE PRIVILEGE TO SEE 4.I AMA VIEWER, YOU ARE A VIEWER ",,,,,,
TA_082,IT_217,,IIMURA Takahiko,飯村隆彦,Talking Picture #1–4,トーキング・ビクチャー（フィルムを見ることの構造）＃1-4,,,,,Iimura Takahiko,,Color,Sound,00:16:00,,,,,,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,Plastic / プラスチック; 光学録音,,,,,,
TA_082,IT_218,,IIMURA Takahiko,飯村隆彦,Talking Picture #1–4,トーキング・ビクチャー（フィルムを見ることの構造）＃1-4,,,,,Iimura Takahiko,,Color,Sound,00:16:00,,,,,,Positive / ポジ,,24fps,,,,,,,,,,,,,,,,,,,,,Plastic / プラスチック; 日本語?,,,,,,
TA_083,IT_146,48,IIMURA Takahiko,飯村隆彦,Talking to Myself at PS 1,トーキング・トゥ・マイ・セルフ・アット・ピーエス1,,,,,Iimura Takahiko,1985,,,00:11:00,Video,U-matic S,,,Master / マスター,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catlog calls this work Talking in New York at PS 1.,,CCJ
TA_084,IT_115,"14, 11-?",IIMURA Takahiko,飯村隆彦,Talking to Myself: Phenomenological Operation,私自身に話すこと,Parts 1–6,,,,Iimura Takahiko,1979-10-20,,,00:17:00,Video,U-matic,,,Master / マスター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCJ
TA_084,IT_116,15,IIMURA Takahiko,飯村隆彦,Talking to Myself: Phenomenological Operation,臨床学的作用,,,,,Iimura Takahiko,1984,,,00:09:00,Video,U-matic,,,Master / マスター,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annotations indicate at PS with super-titles,,CCJ
TA_084,IT_139,76,IIMURA Takahiko,飯村隆彦,Talking to Myself: Phenomenological Operation,私自身に話すこと：臨床学的作用　テープA,Tape A for installation,,,,Iimura Takahiko,1979,,,,Video,U-matic,,,Master / マスター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCJ
TA_084,IT_140,77,IIMURA Takahiko,飯村隆彦,Talking to Myself: Phenomenological Operation,私自身に話すこと：臨床学的作用　テープB,Tape B for installation,,,,Iimura Takahiko,1979,,,,Video,U-matic,,,Master / マスター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCJ
TA_084,IT_252,75,IIMURA Takahiko,飯村隆彦,Talking to Myself: Phenomenological Operation,トーキング・トゥ・マイセルフ：フェノメノロジカル・オペレーション No.1-6,,,,,Iimura Takahiko,,,,00:17:00,Video,U-matic,,,Master / マスター,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date is from tape label. ,,CCJ
