ID,Title (EN),Title (JP),Component ID,Component Name,Previous ID,Artist Name (EN),Artist Name (JP),Description (EN),Description (JP),Contributors (EN),Contributors (JP),Description (JP),Creation Date,Color,Sound,Run time (HH:MM:SS),Collection,Media Type,Media Format,Component Type,Relation,Film Process Type,Film Element Type,Film Wind,FPS,Audio Speed,Brand,Reel Size,Audio Reel Capacity,Video Stock Length,Video Standard,File Name,Codec,Codec ID,File Size (GB),Duration,Bit Rate,Dimensions,Display Aspect Ratio,Bit Depth,Scan Type,Encoded Date,Provenance,Viewing Restrictions,Terms of Governing Use,Color,Sound,FPS,Ft.,Reel/Core,Film Base,Brand,Housing Material,Housing Annotations,Item Annotations,Condition Notes (EN),Condition Notes (JP),Digitization Status (EN),Digitization Status (JP),"Rights Holder Primary (EN)
（Name, Address, Phone, Email)",JP Rights Holder Primary (JP),Rights Holder Notes (EN),Rights Holder Notes (JP),Genre,Cataloger & Date,Cataloger & Date Other,Notes,Date of Entry (MM-DD-YYYY),Cataloger
TI_048,Sakasama (Upside Down),さかさま,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1963,,,12 min,,Film,8mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,,,,,,,,,,,,,,,,,,,"AA, RI",,,CCJ
TI_049,Sakasama (Upside Down),さかさま,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1963,,,13 min,,Film,16mm,,,Master / マスター,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,,,,,,,,,,,,,"AA, RI",,,CCJ
TI_050,Sakasama (Upside Down),さかさま,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1963,,,13 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,,,,,,,,,,,,,"AA, RI",,,CCJ
TI_051,White Calligraphy,ホワイト・カリグラフィー,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1967,,,11 min,,Film,Super8,,,Duplicate Print / デュープ　,,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,24fps,,,,,,,#1,,,,,,,,,,,"AA, RI",,,CCJ
TI_052,White Calligraphy,ホワイト・カリグラフィー,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1967,,,,,Film,Super8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3,,,,,,,,,,,"AA, RI",,,CCJ
TI_053,White Calligraphy,ホワイト・カリグラフィー,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1967,,,11 min,,Film,16mm,,,Master / マスター,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,24fps,,,,,,,,,,,,,,,,,,"AA, RI",,,CCJ
TI_054,White Calligraphy,ホワイト・カリグラフィー,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1967,,,11 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,24fps,,,,,,,,,,,,,,,,,,"AA, RI",,,CCJ
TI_055,New York Scene 2,ニューヨーク・シーン2,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1966,,,35 min,,Film,8mm,,,Camera Original / カメラ・オリジナル,Reversal Positive / リバーサル・ポジ,,,,,,,,,,,,,,,,,,,,,,,BW & Color,Silent,16fps,,,,,,,,,,,,,,,,,,"AA, RI",,,CCJ
TI_056,New York Scene 1,ニューヨーク・シーン1,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1966,,,35 min,,Film,8mm,,,Camera Original / カメラ・オリジナル,Reversal Positive / リバーサル・ポジ,,,,,,,,,,,,,,,,,,,,,,,BW,Silent,16fps,,,,,,,,,,,,,,,,,,"AA, RI",,,CCJ
TI_057,New York Scene 3,ニューヨーク・シーン3,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1966,,,,,Film,8mm,,,Camera Original / カメラ・オリジナル,Reversal Positive / リバーサル・ポジ,,,,,,,,,,,,,,,,,,,,,,,Color,Silent,16fps,,,,,,,,,,,,,,,,,,"AA, RI",,,CCJ
TI_058,New York Scene 4,ニューヨーク・シーン4,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1966,,,"40 min, approx",,Film,8mm,,,Camera Original / カメラ・オリジナル,Reversal Positive / リバーサル・ポジ,,,,,,,,,,,,,,,,,,,,,,,Color,Silent,16fps,,,,,,,,,,,,,,,,,,"AA, RI",,,CCJ
TI_059,New York Scene,ニューヨーク・シーン,,,,TAKAHIKO Iimura,飯村隆彦,,,,,,1966,,,,,Film,16mm,,,Master / マスター,Internegative / インターネガ,,,,,,,,,,,,,,,,,,,,,,,BW,,,,,,,,,,,,,,,,,,,,"AA, RI",Blow-up,,CCJ
TI_060,New York Scene,ニューヨーク・シーン,,,,TAKAHIKO Iimura,飯村隆彦,Blown up from R. 8mm,,,,,1966,,,24 min,,Film,16mm,,,Duplicate Print / デュープ　,Positive / ポジ,,,,,,,,,,,,,,,,,,,,,,,BW & Color,Silent,16fps,,,,,,,,Mold,,,,,,,,,,"AA, RI",,,CCJ
